model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,k,n_selected,true_ge_1e4_hits,true_ge_1e4_hit_rate,base_prevalence_true_ge_1e4,enrichment,mean_true_log10_cond,median_true_log10_cond
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.14283477416946,-3.1506262056909997
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3476604653676834,-3.312471038785365
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,50,50,47,0.94,0.11180223285486443,8.407703281027104,-3.5547142610603872,-3.5927496807922594
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,100,100,94,0.94,0.11180223285486443,8.407703281027104,-3.6329973829327797,-3.6893079857591733
baseline_unweighted__ridge_alpha_1,baseline_unweighted,Scheme A: baseline_unweighted,,Ridge,1.0,200,200,171,0.855,0.11180223285486443,7.647432239657632,-3.7554677339375178,-3.772113295386327
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,200,200,175,0.875,0.11180223285486443,7.826319543509273,-3.7516661023655273,-3.772113295386327
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.242378496192142,-3.20690839982342
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.4737533947188526,-3.5474530158360644
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,100,100,96,0.96,0.11180223285486443,8.586590584878744,-3.6135532145192526,-3.676896193896657
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,200,200,175,0.875,0.11180223285486443,7.826319543509273,-3.75450339249864,-3.772113295386327
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.2459188750314074,-3.20690839982342
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.4714893880521114,-3.5398861442715357
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,100,100,96,0.96,0.11180223285486443,8.586590584878744,-3.6137939289198426,-3.676896193896657
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,200,200,174,0.87,0.11180223285486443,7.781597717546362,-3.754003620179658,-3.772113295386327
